g1	104.71
g2	106.7
g3	107.13
g4	105.78
g5	107.1
g6	107.79
g7	106.91
g8	105.58
g9	107.1
g10	107.36
g11	107.45
g12	106.56
g13	107.33
g14	107.32
g15	108.08
g16	107.12
g17	107.78
g18	102.67
g19	104.86
g20	105.41
g21	106.62
g22	107.5
g23	106.95
g24	103.49
g25	103.52
g26	106.78
g27	105.91
g28	103.61
g29	102.56
g30	105.74
g31	107.05
g32	105.92
g33	103.93
g34	107.09
g35	105.17
g36	106.62
g37	106.22
g38	106.52
g39	106.91
g40	103.93
g41	105.83
g42	105.43
g43	106.4
g44	105.84
g45	105.48
g46	104.43
g47	107.59
g48	107.47
g49	108.4
g50	105.14
g51	109.65
g52	104.4
g53	106.71
g54	103.19
g55	106.05
g56	104.41
g57	108.53
g58	104.12
g59	110.4
g60	97.6983
g61	106.3
g62	104.27
g63	105.89
g64	99.7673
g65	107.25
g66	106.42
g67	106.69
g68	107.64
g69	106.09
g70	105.61
g71	106.19
g72	106.85
g73	108.96
